img.path,img.serial,img.view,img.ts,joint.path,joint.ts,abs_dt,joint.0,joint.1,joint.2,joint.3,joint.4,joint.5
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/right/zed_34850673_left_1748248972.396.jpg,34850673,left,1748248972.396,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/joint/joint_38007749_1748248972.419.json,1748248972.419,0.023000001907348633,31.35215230507425,-92.64281017945545,120.1799872370049,-117.5249941986386,-90.0,121.3449731203589
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/right/zed_34850673_right_1748248972.396.jpg,34850673,right,1748248972.396,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/joint/joint_38007749_1748248972.419.json,1748248972.419,0.023000001907348633,31.35215230507425,-92.64281017945545,120.1799872370049,-117.5249941986386,-90.0,121.3449731203589
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/top/zed_30779426_left_1748248972.408.jpg,30779426,left,1748248972.408,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/joint/joint_38007749_1748248972.419.json,1748248972.419,0.010999917984008789,31.35215230507425,-92.64281017945545,120.1799872370049,-117.5249941986386,-90.0,121.3449731203589
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/top/zed_30779426_right_1748248972.408.jpg,30779426,right,1748248972.408,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/joint/joint_38007749_1748248972.419.json,1748248972.419,0.010999917984008789,31.35215230507425,-92.64281017945545,120.1799872370049,-117.5249941986386,-90.0,121.3449731203589
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/left/zed_38007749_left_1748248972.419.jpg,38007749,left,1748248972.419,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/joint/joint_38007749_1748248972.419.json,1748248972.419,0.0,31.35215230507425,-92.64281017945545,120.1799872370049,-117.5249941986386,-90.0,121.3449731203589
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/left/zed_38007749_right_1748248972.419.jpg,38007749,right,1748248972.419,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/joint/joint_38007749_1748248972.419.json,1748248972.419,0.0,31.35215230507425,-92.64281017945545,120.1799872370049,-117.5249941986386,-90.0,121.3449731203589
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/right/zed_34850673_left_1748248972.549.jpg,34850673,left,1748248972.549,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/joint/joint_34850673_1748248972.549.json,1748248972.549,0.0,31.06759552908416,-91.5533145111386,120.6438060798267,-119.0952776918317,-89.99934734684406,121.0721641011757
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/right/zed_34850673_right_1748248972.549.jpg,34850673,right,1748248972.549,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/joint/joint_34850673_1748248972.549.json,1748248972.549,0.0,31.06759552908416,-91.5533145111386,120.6438060798267,-119.0952776918317,-89.99934734684406,121.0721641011757
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/top/zed_30779426_left_1748248972.554.jpg,30779426,left,1748248972.554,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/joint/joint_30779426_1748248972.554.json,1748248972.554,0.0,31.06063389542079,-91.52612062964108,120.6546836324257,-119.1305209622524,-90.0,121.0649849164604
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/top/zed_30779426_right_1748248972.554.jpg,30779426,right,1748248972.554,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_2nd_250526/joint/joint_30779426_1748248972.554.json,1748248972.554,0.0,31.06063389542079,-91.52612062964108,120.6546836324257,-119.1305209622524,-90.0,121.0649849164604
