image_path,image_timestamp,time_difference_s,joint_timestamp,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
../dataset/Meca_insertion/Meca_1th_hand/right/zed_49429257_left_1747200810.937.jpg,1747200810.937,0.0046999454498291016,1747200810.975,23.51,37.61,-6.64,28.22,54.74,-49.52,185.06
../dataset/Meca_insertion/Meca_1th_hand/right/zed_49429257_right_1747200810.937.jpg,1747200810.937,0.0046999454498291016,1747200810.975,23.51,37.61,-6.64,28.22,54.74,-49.52,185.06
../dataset/Meca_insertion/Meca_1th_hand/top/zed_49045152_left_1747200811.009.jpg,1747200811.009,0.04369997978210449,1747200811.086,23.44,37.51,-6.98,28.13,55.15,-49.38,185.19
../dataset/Meca_insertion/Meca_1th_hand/top/zed_49045152_right_1747200811.009.jpg,1747200811.009,0.04369997978210449,1747200811.086,23.44,37.51,-6.98,28.13,55.15,-49.38,185.19
../dataset/Meca_insertion/Meca_1th_hand/left/zed_44377151_right_1747200811.060.jpg,1747200811.06,0.007299900054931641,1747200811.086,23.44,37.51,-6.98,28.13,55.15,-49.38,185.19
../dataset/Meca_insertion/Meca_1th_hand/left/zed_44377151_left_1747200811.060.jpg,1747200811.06,0.007299900054931641,1747200811.086,23.44,37.51,-6.98,28.13,55.15,-49.38,185.19
../dataset/Meca_insertion/Meca_1th_hand/left/zed_44377151_right_1747200811.348.jpg,1747200811.348,0.03729987144470215,1747200811.344,23.38,37.44,-7.25,28.06,55.48,-49.27,185.29
../dataset/Meca_insertion/Meca_1th_hand/left/zed_44377151_left_1747200811.348.jpg,1747200811.348,0.03729987144470215,1747200811.344,23.38,37.44,-7.25,28.06,55.48,-49.27,185.29
../dataset/Meca_insertion/Meca_1th_hand/right/zed_49429257_left_1747200811.389.jpg,1747200811.389,0.046700239181518555,1747200811.469,23.29,37.32,-7.67,27.95,55.99,-49.09,185.44
../dataset/Meca_insertion/Meca_1th_hand/right/zed_49429257_right_1747200811.389.jpg,1747200811.389,0.046700239181518555,1747200811.469,23.29,37.32,-7.67,27.95,55.99,-49.09,185.44
../dataset/Meca_insertion/Meca_1th_hand/top/zed_49045152_right_1747200811.647.jpg,1747200811.647,0.010699987411499023,1747200811.691,23.23,37.24,-7.94,27.88,56.32,-48.98,185.53
../dataset/Meca_insertion/Meca_1th_hand/top/zed_49045152_left_1747200811.647.jpg,1747200811.647,0.010699987411499023,1747200811.691,23.23,37.24,-7.94,27.88,56.32,-48.98,185.53
../dataset/Meca_insertion/Meca_1th_hand/right/zed_49429257_left_1747200811.682.jpg,1747200811.682,0.02429986000061035,1747200811.691,23.23,37.24,-7.94,27.88,56.32,-48.98,185.53
../dataset/Meca_insertion/Meca_1th_hand/right/zed_49429257_right_1747200811.682.jpg,1747200811.682,0.02429986000061035,1747200811.691,23.23,37.24,-7.94,27.88,56.32,-48.98,185.53
../dataset/Meca_insertion/Meca_1th_hand/left/zed_44377151_left_1747200811.911.jpg,1747200811.911,0.033299922943115234,1747200811.911,23.11,37.09,-8.48,27.73,56.98,-48.75,185.71
../dataset/Meca_insertion/Meca_1th_hand/left/zed_44377151_right_1747200811.911.jpg,1747200811.911,0.033299922943115234,1747200811.911,23.11,37.09,-8.48,27.73,56.98,-48.75,185.71
../dataset/Meca_insertion/Meca_1th_hand/right/zed_49429257_right_1747200812.027.jpg,1747200812.027,0.04770016670227051,1747200812.108,23.03,36.99,-8.84,27.64,57.42,-48.6,185.81
../dataset/Meca_insertion/Meca_1th_hand/right/zed_49429257_left_1747200812.027.jpg,1747200812.027,0.04770016670227051,1747200812.108,23.03,36.99,-8.84,27.64,57.42,-48.6,185.81
../dataset/Meca_insertion/Meca_1th_hand/front/zed_41182735_left_1747200812.293.jpg,1747200812.293,0.04770016670227051,1747200812.374,22.99,36.93,-9.05,27.58,57.67,-48.51,185.87
../dataset/Meca_insertion/Meca_1th_hand/front/zed_41182735_right_1747200812.293.jpg,1747200812.293,0.04770016670227051,1747200812.374,22.99,36.93,-9.05,27.58,57.67,-48.51,185.87
