img.path,img.serial,img.view,img.ts,joint.path,joint.ts,abs_dt,joint.0,joint.1,joint.2,joint.3,joint.4,joint.5,roi.path,roi.x1,roi.y1,roi.x2,roi.y2
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/right/zed_34850673_left_1748248620.325.jpg,34850673,left,1748248620.325,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/joint/joint_38007749_1748248620.339.json,1748248620.339,0.0139999389648437,-60.6619353341584,-95.85930248298268,117.4375386757425,-111.5669235380569,-90.00021755105197,29.33588915532178,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/preprocessed_roi/Fr5_intertek_1st_250526_zed_34850673_left_1748248620.325.jpg,1068,198,1616,1029
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/left/zed_38007749_right_1748248620.339.jpg,38007749,right,1748248620.339,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/joint/joint_38007749_1748248620.339.json,1748248620.339,0.0,-60.6619353341584,-95.85930248298268,117.4375386757425,-111.5669235380569,-90.00021755105197,29.33588915532178,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/preprocessed_roi/Fr5_intertek_1st_250526_zed_38007749_right_1748248620.339.jpg,247,263,633,1004
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/right/zed_34850673_right_1748248620.325.jpg,34850673,right,1748248620.325,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/joint/joint_38007749_1748248620.339.json,1748248620.339,0.0139999389648437,-60.6619353341584,-95.85930248298268,117.4375386757425,-111.5669235380569,-90.00021755105197,29.33588915532178,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/preprocessed_roi/Fr5_intertek_1st_250526_zed_34850673_right_1748248620.325.jpg,967,198,1470,1029
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/top/zed_30779426_right_1748248620.350.jpg,30779426,right,1748248620.35,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/joint/joint_30779426_1748248620.350.json,1748248620.35,0.0,-60.72306717976485,-95.97917311262376,117.355086827042,-111.3704749381188,-90.0,29.27345200340346,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/preprocessed_roi/Fr5_intertek_1st_250526_zed_30779426_right_1748248620.350.jpg,802,383,1323,774
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/top/zed_30779426_left_1748248620.350.jpg,30779426,left,1748248620.35,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/joint/joint_30779426_1748248620.350.json,1748248620.35,0.0,-60.72306717976485,-95.97917311262376,117.355086827042,-111.3704749381188,-90.0,29.27345200340346,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/preprocessed_roi/Fr5_intertek_1st_250526_zed_30779426_left_1748248620.350.jpg,926,386,1432,776
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/right/zed_34850673_left_1748248620.483.jpg,34850673,left,1748248620.483,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/joint/joint_34850673_1748248620.483.json,1748248620.483,0.0,-61.34569829053217,-97.11304919554456,116.5251295637376,-109.4077293471534,-90.0,28.64603476949257,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/preprocessed_roi/Fr5_intertek_1st_250526_zed_34850673_left_1748248620.483.jpg,1076,196,1627,1029
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/right/zed_34850673_right_1748248620.483.jpg,34850673,right,1748248620.483,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/joint/joint_34850673_1748248620.483.json,1748248620.483,0.0,-61.34569829053217,-97.11304919554456,116.5251295637376,-109.4077293471534,-90.0,28.64603476949257,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/preprocessed_roi/Fr5_intertek_1st_250526_zed_34850673_right_1748248620.483.jpg,971,196,1470,1029
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/left/zed_38007749_left_1748248620.487.jpg,38007749,left,1748248620.487,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/joint/joint_38007749_1748248620.487.json,1748248620.487,0.0,-61.35004931157178,-97.1213161355198,116.518603032178,-109.3931534266708,-90.0,28.64103109529703,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/preprocessed_roi/Fr5_intertek_1st_250526_zed_38007749_left_1748248620.487.jpg,382,267,828,1001
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/left/zed_38007749_left_1748248620.339.jpg,38007749,left,1748248620.339,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/joint/joint_38007749_1748248620.339.json,1748248620.339,0.0,-60.6619353341584,-95.85930248298268,117.4375386757425,-111.5669235380569,-90.00021755105197,29.33588915532178,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/preprocessed_roi/Fr5_intertek_1st_250526_zed_38007749_left_1748248620.339.jpg,382,265,840,1001
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/left/zed_38007749_right_1748248620.487.jpg,38007749,right,1748248620.487,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/joint/joint_38007749_1748248620.487.json,1748248620.487,0.0,-61.35004931157178,-97.1213161355198,116.518603032178,-109.3931534266708,-90.0,28.64103109529703,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/preprocessed_roi/Fr5_intertek_1st_250526_zed_38007749_right_1748248620.487.jpg,247,267,622,1004
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/top/zed_30779426_right_1748248620.496.jpg,30779426,right,1748248620.496,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/joint/joint_30779426_1748248620.496.json,1748248620.496,0.0,-61.4057423808787,-97.22269492574256,116.4407197555693,-109.2204178913985,-89.99934734684406,28.58142210705445,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/preprocessed_roi/Fr5_intertek_1st_250526_zed_30779426_right_1748248620.496.jpg,795,390,1327,778
/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/top/zed_30779426_left_1748248620.496.jpg,30779426,left,1748248620.496,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/Fr5_intertek_1st_250526/joint/joint_30779426_1748248620.496.json,1748248620.496,0.0,-61.4057423808787,-97.22269492574256,116.4407197555693,-109.2204178913985,-89.99934734684406,28.58142210705445,/home/najo/NAS/DIP/datasets/Fr5_intertek_dataset/preprocessed_roi/Fr5_intertek_1st_250526_zed_30779426_left_1748248620.496.jpg,918,390,1440,780
