image_path,image_timestamp,time_difference_s,joint_timestamp,joint_path,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
../dataset/Fr5/Fr5_1th_250526/right/zed_34850673_left_1748248620.325.jpg,1748248620.325,0.008300065994262695,1748248620.35,../dataset/Fr5/Fr5_1th_250526/joint/joint_30779426_1748248620.350.json,-60.72306717976485,-95.97917311262377,117.355086827042,-111.3704749381188,-90.0,29.27345200340346
../dataset/Fr5/Fr5_1th_250526/right/zed_34850673_right_1748248620.325.jpg,1748248620.325,0.008300065994262695,1748248620.35,../dataset/Fr5/Fr5_1th_250526/joint/joint_30779426_1748248620.350.json,-60.72306717976485,-95.97917311262377,117.355086827042,-111.3704749381188,-90.0,29.27345200340346
../dataset/Fr5/Fr5_1th_250526/left/zed_38007749_left_1748248620.339.jpg,1748248620.339,0.022300004959106445,1748248620.35,../dataset/Fr5/Fr5_1th_250526/joint/joint_30779426_1748248620.350.json,-60.72306717976485,-95.97917311262377,117.355086827042,-111.3704749381188,-90.0,29.27345200340346
../dataset/Fr5/Fr5_1th_250526/left/zed_38007749_right_1748248620.339.jpg,1748248620.339,0.022300004959106445,1748248620.35,../dataset/Fr5/Fr5_1th_250526/joint/joint_30779426_1748248620.350.json,-60.72306717976485,-95.97917311262377,117.355086827042,-111.3704749381188,-90.0,29.27345200340346
../dataset/Fr5/Fr5_1th_250526/top/zed_30779426_right_1748248620.350.jpg,1748248620.35,0.033299922943115234,1748248620.35,../dataset/Fr5/Fr5_1th_250526/joint/joint_30779426_1748248620.350.json,-60.72306717976485,-95.97917311262377,117.355086827042,-111.3704749381188,-90.0,29.27345200340346
../dataset/Fr5/Fr5_1th_250526/top/zed_30779426_left_1748248620.350.jpg,1748248620.35,0.033299922943115234,1748248620.35,../dataset/Fr5/Fr5_1th_250526/joint/joint_30779426_1748248620.350.json,-60.72306717976485,-95.97917311262377,117.355086827042,-111.3704749381188,-90.0,29.27345200340346
../dataset/Fr5/Fr5_1th_250526/right/zed_34850673_right_1748248620.483.jpg,1748248620.483,0.020299911499023438,1748248620.496,../dataset/Fr5/Fr5_1th_250526/joint/joint_30779426_1748248620.496.json,-61.4057423808787,-97.22269492574257,116.4407197555693,-109.2204178913985,-89.99934734684406,28.58142210705445
../dataset/Fr5/Fr5_1th_250526/right/zed_34850673_left_1748248620.483.jpg,1748248620.483,0.020299911499023438,1748248620.496,../dataset/Fr5/Fr5_1th_250526/joint/joint_30779426_1748248620.496.json,-61.4057423808787,-97.22269492574257,116.4407197555693,-109.2204178913985,-89.99934734684406,28.58142210705445
../dataset/Fr5/Fr5_1th_250526/left/zed_38007749_left_1748248620.487.jpg,1748248620.487,0.02429986000061035,1748248620.496,../dataset/Fr5/Fr5_1th_250526/joint/joint_30779426_1748248620.496.json,-61.4057423808787,-97.22269492574257,116.4407197555693,-109.2204178913985,-89.99934734684406,28.58142210705445
../dataset/Fr5/Fr5_1th_250526/left/zed_38007749_right_1748248620.487.jpg,1748248620.487,0.02429986000061035,1748248620.496,../dataset/Fr5/Fr5_1th_250526/joint/joint_30779426_1748248620.496.json,-61.4057423808787,-97.22269492574257,116.4407197555693,-109.2204178913985,-89.99934734684406,28.58142210705445
