image_path,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
../dataset/Meca500/image/image613.jpg,0.0,35.831735,3.894452,7.440595,14.624167,-367.440595
../dataset/Meca500/image/image273.jpg,37.455,31.28324,-16.348752,52.545,22.520512,-412.545
../dataset/Meca500/image/image807.jpg,-50.715,1.868871,0.203082,39.285,48.643046,-500.715
../dataset/Meca500/image/image648.jpg,-90.0,66.874583,-34.707229,0.0,57.832645,-540.0
../dataset/Meca500/image/image740.jpg,21.821424,6.852202,-0.588201,10.966461,31.193093,-386.602131
../dataset/Meca500/image/image910.jpg,-46.399771,30.277838,-6.417476,0.0,66.139638,-496.399771
../dataset/Meca500/image/image438.jpg,82.965108,10.7419,-1.97333,0.0,81.23143,-367.034892
../dataset/Meca500/image/image579.jpg,64.176973,30.572857,-8.206026,0.0,67.633169,-385.823027
../dataset/Meca500/image/image240.jpg,-90.0,40.353314,-20.074338,0.0,69.721024,-540.0
../dataset/Meca500/image/image353.jpg,-38.396882,48.606132,-13.05711,0.0,54.450978,-488.396882
../dataset/Meca500/image/image340.jpg,0.0,46.150795,5.016002,4.17376,18.835731,-364.17376
../dataset/Meca500/image/image159.jpg,90.0,5.041625,-0.591405,0.0,85.549781,-360.0
../dataset/Meca500/image/image938.jpg,-90.0,8.7018,-2.610877,0.0,83.909077,-540.0
../dataset/Meca500/image/image328.jpg,13.842732,4.346792,-0.373134,13.824941,19.787783,-383.743651
../dataset/Meca500/image/image140.jpg,58.125,48.547279,-25.37101,-31.875,34.948732,-328.125
../dataset/Meca500/image/image506.jpg,-78.779335,57.636218,-27.973205,0.0,60.336988,-528.779335
../dataset/Meca500/image/image530.jpg,-57.885,2.133089,0.231794,32.115,55.520117,-507.885
../dataset/Meca500/image/image107.jpg,-90.0,31.682899,-15.290508,0.0,73.607609,-180.0
../dataset/Meca500/image/image28.jpg,90.0,17.402216,-7.411259,0.0,80.009043,0.0
../dataset/Meca500/image/image106.jpg,-90.0,36.693139,-18.054867,0.0,71.361727,-180.0
../dataset/Meca500/image/image741.jpg,16.84224,5.288676,-0.453986,12.750324,24.075494,-384.818268
../dataset/Meca500/image/image945.jpg,-61.395,2.262434,0.245849,28.605,58.886716,-511.395
../dataset/Meca500/image/image661.jpg,-88.544994,3.26293,0.354565,1.455006,84.927499,-538.544994
../dataset/Meca500/image/image760.jpg,-15.622623,62.510684,-6.504258,0.0,33.993573,-421.031714
../dataset/Meca500/image/image846.jpg,90.0,22.892479,-10.440466,0.0,77.547988,-360.0
../dataset/Meca500/image/image407.jpg,15.285,12.766368,-6.671757,74.715,9.190389,-434.715
../dataset/Meca500/image/image330.jpg,3.824373,1.200901,-0.103087,17.41416,5.466831,-380.154432
../dataset/Meca500/image/image996.jpg,61.817797,33.062977,-8.988649,0.0,65.925672,-388.182203
../dataset/Meca500/image/image135.jpg,31.605,26.397191,-13.795282,-58.395,19.003091,-301.605
../dataset/Meca500/image/image84.jpg,-43.347933,37.267187,-8.949448,0.0,61.68226,-133.347933
../dataset/Meca500/image/image417.jpg,64.275,53.683894,-28.055427,25.725,38.646533,-385.725
../dataset/Meca500/image/image860.jpg,42.688576,53.253951,-15.334495,0.0,52.080544,-407.311424
../dataset/Meca500/image/image481.jpg,-0.9878,59.532378,5.629568,0.000961,24.833449,-363.859925
../dataset/Meca500/image/image757.jpg,-2.418244,59.826224,4.443876,0.0,25.7299,-369.447169
../dataset/Meca500/image/image526.jpg,-78.885,2.906949,0.315886,11.115,75.662165,-528.885
../dataset/Meca500/image/image422.jpg,89.23185,74.495253,-38.930564,0.76815,53.667161,-360.76815
../dataset/Meca500/image/image66.jpg,0.0,28.002448,3.043508,9.91921,11.428765,-9.91921
../dataset/Meca500/image/image198.jpg,0.0,28.842372,3.134797,9.653305,11.771567,-369.653305
../dataset/Meca500/image/image139.jpg,52.125,43.535947,-22.752067,-37.875,31.341121,-322.125
../dataset/Meca500/image/image258.jpg,-37.035,1.364757,0.148302,52.965,35.521941,-487.035
../dataset/Meca500/image/image57.jpg,20.50164,6.437774,-0.552626,11.439292,29.3065,-26.1293
../dataset/Meca500/image/image776.jpg,-61.617188,30.81811,-10.672983,0.0,69.854873,-511.617188
../dataset/Meca500/image/image285.jpg,90.0,68.734672,-35.733517,0.0,56.998845,-360.0
../dataset/Meca500/image/image100.jpg,-90.0,69.184694,-35.981813,0.0,56.797119,-180.0
../dataset/Meca500/image/image423.jpg,90.0,70.894776,-36.925337,0.0,56.030561,-360.0
../dataset/Meca500/image/image535.jpg,-31.875,1.174609,0.12764,58.125,30.572752,-481.875
../dataset/Meca500/image/image442.jpg,63.551649,31.232889,-8.413468,0.0,67.18058,-386.448351
../dataset/Meca500/image/image928.jpg,-90.0,58.714193,-30.204801,0.0,61.490608,-540.0
../dataset/Meca500/image/image29.jpg,90.0,11.881952,-4.365499,0.0,82.483547,0.0
../dataset/Meca500/image/image902.jpg,-28.289614,65.085893,-17.006828,0.0,41.920935,-470.516887
../dataset/Meca500/image/image226.jpg,-67.16513,39.487498,-16.26556,0.0,66.778062,-517.16513
../dataset/Meca500/image/image913.jpg,-52.871794,17.222229,-1.890591,0.0,74.668362,-502.871794
../dataset/Meca500/image/image534.jpg,-37.875,1.395711,0.151666,52.125,36.327622,-487.875
../dataset/Meca500/image/image972.jpg,73.095,61.050552,-31.905273,16.905,43.949721,-376.905
../dataset/Meca500/image/image495.jpg,-46.399771,30.277838,-6.417476,0.0,66.139638,-496.399771
../dataset/Meca500/image/image251.jpg,-72.555,2.673686,0.290538,17.445,69.590776,-522.555
../dataset/Meca500/image/image694.jpg,74.955,62.604065,-32.717146,15.045,45.068081,-375.045
../dataset/Meca500/image/image271.jpg,27.435,22.914316,-11.975117,62.565,16.495801,-422.565
../dataset/Meca500/image/image976.jpg,90.0,72.574856,-37.852307,0.0,55.277451,-360.0
../dataset/Meca500/image/image582.jpg,49.96507,45.573581,-12.920622,0.0,57.347041,-400.03493
../dataset/Meca500/image/image390.jpg,-69.225,2.550974,0.277204,20.775,66.396823,-519.225
../dataset/Meca500/image/image602.jpg,19.151862,6.013926,-0.516243,11.92287,27.37703,-385.645722
../dataset/Meca500/image/image753.jpg,0.0,42.671112,4.637805,5.275367,17.415553,-365.275367
../dataset/Meca500/image/image160.jpg,86.916017,6.571699,-0.662673,0.0,84.090974,-363.083983
../dataset/Meca500/image/image6.jpg,32.775,27.374401,-14.305976,0.010963,19.706575,-0.010963
../dataset/Meca500/image/image542.jpg,3.615,3.019328,-1.577913,86.385,2.173586,-446.385
../dataset/Meca500/image/image81.jpg,-36.576257,52.775744,-14.567599,0.0,51.791855,-126.576257
../dataset/Meca500/image/image294.jpg,90.0,22.71247,-10.341148,0.0,77.628678,-360.0
../dataset/Meca500/image/image730.jpg,44.186206,35.347366,-8.25397,0.0,62.906604,-405.813794
../dataset/Meca500/image/image577.jpg,73.6421,20.582375,-5.066105,0.0,74.48373,-376.3579
../dataset/Meca500/image/image664.jpg,-73.545,2.710168,0.294502,16.455,70.54033,-523.545
../dataset/Meca500/image/image843.jpg,90.0,37.893197,-18.716988,0.0,70.823792,-360.0
../dataset/Meca500/image/image44.jpg,35.593906,55.025535,-15.382612,0.0,50.357077,-54.406094
../dataset/Meca500/image/image693.jpg,70.455,58.845566,-30.752938,19.545,42.362372,-379.545
../dataset/Meca500/image/image739.jpg,26.830603,8.425148,-0.723225,9.171852,38.353569,-388.39674
../dataset/Meca500/image/image782.jpg,-81.447722,61.805923,-30.663061,0.0,58.857138,-531.447722
../dataset/Meca500/image/image70.jpg,0.0,49.510489,5.381157,3.11014,20.206938,-3.11014
../dataset/Meca500/image/image341.jpg,0.0,51.160338,5.560475,2.587826,20.880299,-362.587826
../dataset/Meca500/image/image113.jpg,-86.865,3.201016,0.347841,-3.135,83.316143,-183.135
../dataset/Meca500/image/image494.jpg,-44.002833,35.767327,-8.406106,0.0,62.638779,-494.002833
../dataset/Meca500/image/image53.jpg,42.488037,13.341779,-1.145274,3.562354,60.735417,-34.006238
../dataset/Meca500/image/image696.jpg,84.945,70.947933,-37.077686,5.055,51.074753,-365.055
../dataset/Meca500/image/image24.jpg,90.0,37.893197,-18.716988,0.0,70.823792,0.0
